Zip Code,Sub District,District,Jenis,City,Regency
16810,Babakan Madang,,Kab.,Bekasi,Jawa Barat
16350,Rumpin,,Kab.,Bekasi,Jawa Barat
16610,Tamansari,,Kab.,Bekasi,Jawa Barat
16740,Cijeruk,,Kab.,Bekasi,Jawa Barat
16840,Tanjungsari,,Kab.,Bekasi,Jawa Barat
16660,Cigudeg,,Kab.,Bekasi,Jawa Barat
16720,Ciawi,,Kab.,Bekasi,Jawa Barat
16660,Sukajaya,,Kab.,Bekasi,Jawa Barat
16965,Gunung Putri,,Kab.,Bekasi,Jawa Barat
16640,Leuwisadeng,,Kab.,Bekasi,Jawa Barat
16830,Jonggol,,Kab.,Bekasi,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
16310,Kemang,,Kab.,Bogor,Jawa Barat
16810,Babakan Madang,,Kab.,Bogor,Jawa Barat
16840,Cariu,,Kab.,Bogor,Jawa Barat
16640,Leuwisadeng,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16680,Dramaga,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
17630,Sukatani,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16650,Nanggung,,Kab.,Bogor,Jawa Barat
16840,Cariu,,Kab.,Bogor,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
16370,Tenjo,,Kab.,Bogor,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
16750,Cisarua,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16330,Parung,,Kab.,Bogor,Jawa Barat
16620,Ciampea,,Kab.,Bogor,Jawa Barat
16810,Babakan Madang,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16330,Parung,,Kab.,Bogor,Jawa Barat
16310,Kemang,,Kab.,Bogor,Jawa Barat
16370,Tenjo,,Kab.,Bogor,Jawa Barat
17540,Kedung Waringin,,Kab.,Bogor,Jawa Barat
16840,Tanjungsari,,Kab.,Bogor,Jawa Barat
16710,Sukaraja,,Kab.,Bogor,Jawa Barat
16730,Caringin,,Kab.,Bogor,Jawa Barat
16840,Cariu,,Kab.,Bogor,Jawa Barat
16110,Cigombong,,Kab.,Bogor,Jawa Barat
16620,Ciampea,,Kab.,Bogor,Jawa Barat
16620,Ciampea,,Kab.,Bogor,Jawa Barat
16610,Ciomas,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16620,Ciampea,,Kab.,Bogor,Jawa Barat
16830,Sukamakmur,,Kab.,Bogor,Jawa Barat
16840,Tanjungsari,,Kab.,Bogor,Jawa Barat
16340,Gunung Sindur,,Kab.,Bogor,Jawa Barat
16740,Cijeruk,,Kab.,Bogor,Jawa Barat
16710,Sukaraja,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16750,Cisarua,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16911,Cibinong,,Kab.,Bogor,Jawa Barat
16340,Gunung Sindur,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
16350,Rumpin,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16110,Cigombong,,Kab.,Bogor,Jawa Barat
16110,Cigombong,,Kab.,Bogor,Jawa Barat
16620,Ciampea,,Kab.,Bogor,Jawa Barat
16730,Caringin,,Kab.,Bogor,Jawa Barat
16340,Gunung Sindur,,Kab.,Bogor,Jawa Barat
16350,Rumpin,,Kab.,Bogor,Jawa Barat
16110,Cigombong,,Kab.,Bogor,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
16730,Caringin,,Kab.,Bogor,Jawa Barat
16680,Dramaga,,Kab.,Bogor,Jawa Barat
16620,Ciampea,,Kab.,Bogor,Jawa Barat
16620,Ciampea,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16740,Cijeruk,,Kab.,Bogor,Jawa Barat
16710,Sukaraja,,Kab.,Bogor,Jawa Barat
16680,Dramaga,,Kab.,Bogor,Jawa Barat
16966,Gunung Putri,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16840,Cariu,,Kab.,Bogor,Jawa Barat
16710,Sukaraja,,Kab.,Bogor,Jawa Barat
16750,Cisarua,,Kab.,Bogor,Jawa Barat
16660,Sukajaya,,Kab.,Bogor,Jawa Barat
16820,Cileungsi,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16710,Sukaraja,,Kab.,Bogor,Jawa Barat
16730,Caringin,,Kab.,Bogor,Jawa Barat
16730,Caringin,,Kab.,Bogor,Jawa Barat
16730,Caringin,,Kab.,Bogor,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
16610,Ciomas,,Kab.,Bogor,Jawa Barat
16610,Ciomas,,Kab.,Bogor,Jawa Barat
16370,Tenjo,,Kab.,Bogor,Jawa Barat
16810,Babakan Madang,,Kab.,Bogor,Jawa Barat
16770,Megamendung,,Kab.,Bogor,Jawa Barat
16740,Cijeruk,,Kab.,Bogor,Jawa Barat
16820,Cileungsi,,Kab.,Bogor,Jawa Barat
16820,Cileungsi,,Kab.,Bogor,Jawa Barat
16740,Cijeruk,,Kab.,Bogor,Jawa Barat
16350,Rumpin,,Kab.,Bogor,Jawa Barat
16917,Cibinong,,Kab.,Bogor,Jawa Barat
16918,Cibinong,,Kab.,Bogor,Jawa Barat
16750,Cisarua,,Kab.,Bogor,Jawa Barat
16650,Nanggung,,Kab.,Bogor,Jawa Barat
16660,Sukajaya,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16810,Babakan Madang,,Kab.,Bogor,Jawa Barat
16750,Cisarua,,Kab.,Bogor,Jawa Barat
16330,Parung,,Kab.,Bogor,Jawa Barat
16650,Nanggung,,Kab.,Bogor,Jawa Barat
16453,Cimanggis,,Kab.,Bogor,Jawa Barat
16340,Gunung Sindur,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16680,Dramaga,,Kab.,Bogor,Jawa Barat
16770,Megamendung,,Kab.,Bogor,Jawa Barat
16350,Rumpin,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16710,Sukaraja,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16961,Gunung Putri,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16340,Gunung Sindur,,Kab.,Bogor,Jawa Barat
16454,Cimanggis,,Kab.,Bogor,Jawa Barat
16330,Parung,,Kab.,Bogor,Jawa Barat
16330,Parung,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16340,Gunung Sindur,,Kab.,Bogor,Jawa Barat
16310,Kemang,,Kab.,Bogor,Jawa Barat
16750,Cisarua,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16640,Leuwisadeng,,Kab.,Bogor,Jawa Barat
16640,Leuwisadeng,,Kab.,Bogor,Jawa Barat
16650,Nanggung,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16350,Rumpin,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
16913,Cibinong,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16840,Cariu,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
17540,Kedung Waringin,,Kab.,Bogor,Jawa Barat
16310,Kemang,,Kab.,Bogor,Jawa Barat
16660,Sukajaya,,Kab.,Bogor,Jawa Barat
16660,Sukajaya,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16840,Cariu,,Kab.,Bogor,Jawa Barat
16350,Rumpin,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
16750,Cisarua,,Kab.,Bogor,Jawa Barat
16456,Tapos,,Kab.,Bogor,Jawa Barat
16640,Leuwisadeng,,Kab.,Bogor,Jawa Barat
16820,Cileungsi,,Kab.,Bogor,Jawa Barat
17540,Kedung Waringin,,Kab.,Bogor,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
16610,Ciomas,,Kab.,Bogor,Jawa Barat
16452,Cimanggis,,Kab.,Bogor,Jawa Barat
16840,Cariu,,Kab.,Bogor,Jawa Barat
16730,Caringin,,Kab.,Bogor,Jawa Barat
16967,Gunung Putri,,Kab.,Bogor,Jawa Barat
16710,Sukaraja,,Kab.,Bogor,Jawa Barat
16912,Cibinong,,Kab.,Bogor,Jawa Barat
16912,Cibinong,,Kab.,Bogor,Jawa Barat
16650,Nanggung,,Kab.,Bogor,Jawa Barat
16680,Dramaga,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
16916,Cibinong,,Kab.,Bogor,Jawa Barat
16340,Gunung Sindur,,Kab.,Bogor,Jawa Barat
16310,Kemang,,Kab.,Bogor,Jawa Barat
16830,Sukamakmur,,Kab.,Bogor,Jawa Barat
16610,Ciomas,,Kab.,Bogor,Jawa Barat
16340,Gunung Sindur,,Kab.,Bogor,Jawa Barat
16915,Cibinong,,Kab.,Bogor,Jawa Barat
16740,Cijeruk,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16330,Parung,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16720,Ciawi,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16310,Kemang,,Kab.,Bogor,Jawa Barat
16650,Nanggung,,Kab.,Bogor,Jawa Barat
16610,Ciomas,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16330,Parung,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16820,Cileungsi,,Kab.,Bogor,Jawa Barat
16770,Megamendung,,Kab.,Bogor,Jawa Barat
16451,Cimanggis,,Kab.,Bogor,Jawa Barat
16710,Sukaraja,,Kab.,Bogor,Jawa Barat
16119,Cigombong,,Kab.,Bogor,Jawa Barat
16660,Sukajaya,,Kab.,Bogor,Jawa Barat
16840,Tanjungsari,,Kab.,Bogor,Jawa Barat
16610,Tamansari,,Kab.,Bogor,Jawa Barat
16680,Dramaga,,Kab.,Bogor,Jawa Barat
16914,Cibinong,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
16640,Leuwiliang,,Kab.,Bogor,Jawa Barat
16810,Pamijahan,,Kab.,Bogor,Jawa Barat
16120,Ciseeng,,Kab.,Bogor,Jawa Barat
16350,Rumpin,,Kab.,Bogor,Jawa Barat
16340,Gunung Sindur,,Kab.,Bogor,Jawa Barat
16350,Rumpin,,Kab.,Bogor,Jawa Barat
16640,Leuwisadeng,,Kab.,Bogor,Jawa Barat
16840,Tanjungsari,,Kab.,Bogor,Jawa Barat
16310,Kemang,,Kab.,Bogor,Jawa Barat
16820,Cileungsi,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16370,Tenjo,,Kab.,Bogor,Jawa Barat
16370,Tenjo,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16660,Sukajaya,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
16830,Sukamakmur,,Kab.,Bogor,Jawa Barat
16840,Tanjungsari,,Kab.,Bogor,Jawa Barat
16840,Tanjungsari,,Kab.,Bogor,Jawa Barat
16680,Dramaga,,Kab.,Bogor,Jawa Barat
16830,Sukamakmur,,Kab.,Bogor,Jawa Barat
17620,Sukawangi,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
16770,Megamendung,,Kab.,Bogor,Jawa Barat
16740,Cijeruk,,Kab.,Bogor,Jawa Barat
16610,Ciomas,,Kab.,Bogor,Jawa Barat
16830,Sukamakmur,,Kab.,Bogor,Jawa Barat
16913,Cibinong,,Kab.,Bogor,Jawa Barat
17630,Sukakarya,,Kab.,Bogor,Jawa Barat
17630,Sukakarya,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
16660,Sukajaya,,Kab.,Bogor,Jawa Barat
16610,Tamansari,,Kab.,Bogor,Jawa Barat
17630,Sukakarya,,Kab.,Bogor,Jawa Barat
16650,Nanggung,,Kab.,Bogor,Jawa Barat
16455,Tapos,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
17630,Sukakarya,,Kab.,Bogor,Jawa Barat
16830,Sukamakmur,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
17630,Sukatani,,Kab.,Bogor,Jawa Barat
16660,Sukajaya,,Kab.,Bogor,Jawa Barat
16350,Rumpin,,Kab.,Bogor,Jawa Barat
17630,Sukakarya,,Kab.,Bogor,Jawa Barat
16770,Megamendung,,Kab.,Bogor,Jawa Barat
16830,Sukamakmur,,Kab.,Bogor,Jawa Barat
16610,Tamansari,,Kab.,Bogor,Jawa Barat
17630,Sukatani,,Kab.,Bogor,Jawa Barat
16830,Jonggol,,Kab.,Bogor,Jawa Barat
17620,Sukawangi,,Kab.,Bogor,Jawa Barat
17620,Sukawangi,,Kab.,Bogor,Jawa Barat
16740,Cijeruk,,Kab.,Bogor,Jawa Barat
16730,Caringin,,Kab.,Bogor,Jawa Barat
16840,Tanjungsari,,Kab.,Bogor,Jawa Barat
16457,Tapos,,Kab.,Bogor,Jawa Barat
16370,Tenjo,,Kab.,Bogor,Jawa Barat
16840,Cariu,,Kab.,Bogor,Jawa Barat
16670,Jasinga,,Kab.,Bogor,Jawa Barat
16620,Ciampea,,Kab.,Bogor,Jawa Barat
16310,Kemang,,Kab.,Bogor,Jawa Barat
16914,Cibinong,,Kab.,Bogor,Jawa Barat
16962,Gunung Putri,,Kab.,Bogor,Jawa Barat
16750,Cisarua,,Kab.,Bogor,Jawa Barat
16451,Cimanggis,,Kab.,Bogor,Jawa Barat
16110,Cigombong,,Kab.,Bogor,Jawa Barat
16660,Cigudeg,,Kab.,Bogor,Jawa Barat
16830,Sukamakmur,,Kab.,Bogor,Jawa Barat
17540,Kedung Waringin,,Kab.,Bogor,Jawa Barat
16330,Parung,,Kab.,Bogor,Jawa Barat
16330,Parung,,Kab.,Bogor,Jawa Barat
16740,Cijeruk,,Kab.,Bogor,Jawa Barat
16110,Cigombong,,Kab.,Bogor,Jawa Barat
16963,Gunung Putri,,Kab.,Depok,Jawa Barat
16370,Tenjo,,Kab.,Depok,Jawa Barat
16820,Cileungsi,,Kab.,Depok,Jawa Barat
16810,Pamijahan,,Kab.,Depok,Jawa Barat
16620,Ciampea,,Kab.,Depok,Jawa Barat
16770,Megamendung,,Kab.,Depok,Jawa Barat
16110,Cigombong,,Kab.,Depok,Jawa Barat
16452,Cimanggis,,Kab.,Depok,Jawa Barat
16820,Cileungsi,,Kab.,Depok,Jawa Barat
16820,Cileungsi,,Kab.,Depok,Jawa Barat
16640,Leuwiliang,,Kab.,Depok,Jawa Barat
16650,Nanggung,,Kab.,Depok,Jawa Barat
16350,Rumpin,,Kab.,Depok,Jawa Barat
16820,Cileungsi,,Kab.,Depok,Jawa Barat
16730,Caringin,,Kab.,Depok,Jawa Barat
16650,Nanggung,,Kab.,Depok,Jawa Barat
16730,Caringin,,Kab.,Depok,Jawa Barat
16310,Kemang,,Kab.,Depok,Jawa Barat
16770,Megamendung,,Kab.,Depok,Jawa Barat
16660,Cigudeg,,Kab.,Depok,Jawa Barat
16710,Sukaraja,,Kab.,Depok,Jawa Barat
16370,Tenjo,,Kab.,Depok,Jawa Barat
16750,Cisarua,,Kab.,Depok,Jawa Barat
15720,Jambe,,Kab.,Tangerang,Banten
15820,Legok,,Kab.,Tangerang,Banten
15550,Kronjo,,Kab.,Tangerang,Banten
15720,Tigaraksa,,Kab.,Tangerang,Banten
15212,Kosambi,,Kab.,Tangerang,Banten
15810,Kelapa Dua,,Kab.,Tangerang,Banten
15610,Sukamulya,,Kab.,Tangerang,Banten
15710,Cikupa,,Kab.,Tangerang,Banten
15550,Kronjo,,Kab.,Tangerang,Banten
15820,Legok,,Kab.,Tangerang,Banten
15810,Kelapa Dua,,Kab.,Tangerang,Banten
15710,Cikupa,,Kab.,Tangerang,Banten
15730,Cisoka,,Kab.,Tangerang,Banten
15570,Pakuhaji,,Kab.,Tangerang,Banten
15530,Sukadiri,,Kab.,Tangerang,Banten
15710,Cikupa,,Kab.,Tangerang,Banten
15610,Sukamulya,,Kab.,Tangerang,Banten
15710,Cikupa,,Kab.,Tangerang,Banten
15610,Sukamulya,,Kab.,Tangerang,Banten
15570,Pakuhaji,,Kab.,Tangerang,Banten
15610,Balaraja,,Kab.,Tangerang,Banten
15730,Cisoka,,Kab.,Tangerang,Banten
15730,Cisoka,,Kab.,Tangerang,Banten
15730,Cisoka,,Kab.,Tangerang,Banten
15212,Kosambi,,Kab.,Tangerang,Banten
15710,Panongan,,Kab.,Tangerang,Banten
15710,Cikupa,,Kab.,Tangerang,Banten
15344,Cisauk,,Kab.,Tangerang,Banten
15730,Cisoka,,Kab.,Tangerang,Banten
15336,Pagedangan,,Kab.,Tangerang,Banten
15332,Pagedangan,,Kab.,Tangerang,Banten
15335,Pagedangan,,Kab.,Tangerang,Banten
15610,Jayanti,,Kab.,Tangerang,Banten
15730,Solear,,Kab.,Tangerang,Banten
15730,Solear,,Kab.,Tangerang,Banten
15710,Cikupa,,Kab.,Tangerang,Banten
15730,Solear,,Kab.,Tangerang,Banten
15730,Solear,,Kab.,Tangerang,Banten
15550,Kronjo,,Kab.,Tangerang,Banten
15341,Cisauk,,Kab.,Tangerang,Banten
15720,Tigaraksa,,Kab.,Tangerang,Banten
15730,Cisoka,,Kab.,Tangerang,Banten
15810,Kelapa Dua,,Kab.,Tangerang,Banten
15211,Kosambi,,Kab.,Tangerang,Banten
15610,Jayanti,,Kab.,Tangerang,Banten
15342,Cisauk,,Kab.,Tangerang,Banten
15540,Rajeg,,Kab.,Tangerang,Banten
15720,Jambe,,Kab.,Tangerang,Banten
15710,Cikupa,,Kab.,Tangerang,Banten
15570,Pakuhaji,,Kab.,Tangerang,Banten
15560,Pasar Kemis,,Kab.,Tangerang,Banten
15610,Balaraja,,Kab.,Tangerang,Banten
15530,Sukadiri,,Kab.,Tangerang,Banten
15720,Jambe,,Kab.,Tangerang,Banten
15540,Rajeg,,Kab.,Tangerang,Banten
15330,Pagedangan,,Kab.,Tangerang,Banten
15211,Kosambi,,Kab.,Tangerang,Banten
15620,Kresek,,Kab.,Tangerang,Banten
15720,Tigaraksa,,Kab.,Tangerang,Banten
15337,Pagedangan,,Kab.,Tangerang,Banten
15610,Sukamulya,,Kab.,Tangerang,Banten
15570,Pakuhaji,,Kab.,Tangerang,Banten
15820,Legok,,Kab.,Tangerang,Banten
15530,Kemiri,,Kab.,Tangerang,Banten
15157,Karang Tengah,,Kab.,Tangerang,Banten
15530,Sukadiri,,Kab.,Tangerang,Banten
15157,Karang Tengah,,Kab.,Tangerang,Banten
15157,Pagedangan,,Kab.,Tangerang,Banten
15157,Karang Tengah,,Kab.,Tangerang,Banten
15730,Cisoka,,Kab.,Tangerang,Banten
15520,Sepatan,,Kab.,Tangerang,Banten
15520,Sepatan,,Kab.,Tangerang,Banten
15520,Sepatan,,Kab.,Tangerang,Banten
15810,Kelapa Dua,,Kab.,Tangerang,Banten
15530,Kemiri,,Kab.,Tangerang,Banten
15620,Kresek,,Kab.,Tangerang,Banten
15570,Pakuhaji,,Kab.,Tangerang,Banten
15530,Kemiri,,Kab.,Tangerang,Banten
15570,Pakuhaji,,Kab.,Tangerang,Banten
15620,Kresek,,Kab.,Tangerang,Banten
15213,Kosambi,,Kab.,Tangerang,Banten
15213,Kosambi,,Kab.,Tangerang,Banten
15530,Sukadiri,,Kab.,Tangerang,Banten
15620,Kresek,,Kab.,Tangerang,Banten
15550,Kronjo,,Kab.,Tangerang,Banten
15610,Sukamulya,,Kab.,Tangerang,Banten
15560,Pasar Kemis,,Kab.,Tangerang,Banten
15560,Pasar Kemis,,Kab.,Tangerang,Banten
15560,Pasar Kemis,,Kab.,Tangerang,Banten
15720,Jambe,,Kab.,Tangerang,Banten
15570,Pakuhaji,,Kab.,Tangerang,Banten
15530,Kemiri,,Kab.,Tangerang,Banten
15820,Legok,,Kab.,Tangerang,Banten
15540,Rajeg,,Kab.,Tangerang,Banten
15530,Kemiri,,Kab.,Tangerang,Banten
15330,Pagedangan,,Kab.,Tangerang,Banten
15720,Tigaraksa,,Kab.,Tangerang,Banten
15720,Tigaraksa,,Kab.,Tangerang,Banten
15334,Pagedangan,,Kab.,Tangerang,Banten
15710,Panongan,,Kab.,Tangerang,Banten
15710,Panongan,,Kab.,Tangerang,Banten
15520,Sepatan,,Kab.,Tangerang,Banten
